Date,Hour,Kumamoto,Aso,Amakusa
2022/01/06,13,10.9,5.2,11.6
2022/01/06,14,12.2,6.7,12.7
2022/01/06,15,13,7,13.3
2022/01/06,16,12.1,7.2,12
2022/01/06,17,10.9,6.6,11.3
2022/01/06,18,9.7,3.3,9.6
2022/01/06,19,8.2,0.8,8.5
2022/01/06,20,8.1,-0.1,7.8
2022/01/06,21,6.2,0,7.1
2022/01/06,22,5.2,-0.8,8
2022/01/06,23,4.9,-0.4,7.5
2022/01/06,24,3.6,-0.8,6.4
2022/01/07,1,3.2,1.3,6.9
2022/01/07,2,2,2.2,5.3
2022/01/07,3,2.2,1.6,5.1
2022/01/07,4,2.6,-1.1,5.3
2022/01/07,5,1.4,-0.7,6.1
2022/01/07,6,1.2,-1,6
2022/01/07,7,0.9,1.1,4.9
2022/01/07,8,1.4,-0.6,6.6
2022/01/07,9,3.5,1.2,8.4
2022/01/07,10,7.2,4.3,10.2
2022/01/07,11,9,5.6,10.7
2022/01/07,12,10.8,6.6,11.7
2022/01/07,13,11.3,8.1,11.6
2022/01/07,14,12.2,8.1,12.4
2022/01/07,15,11.9,9.1,13
2022/01/07,16,11.5,8.2,12.4
2022/01/07,17,10.7,5.7,11.1
2022/01/07,18,9.7,3.4,9.5
2022/01/07,19,8.9,1.2,8.6
2022/01/07,20,7.7,-0.1,7.5
2022/01/07,21,6.3,-1,7.7
2022/01/07,22,5.1,-1.5,6.9
2022/01/07,23,4,-2.1,7.3
2022/01/07,24,3.2,-2.7,8.1
2022/01/08,1,3.1,-3.5,6.4
2022/01/08,2,2.8,-3.9,7.7
2022/01/08,3,2.2,-4,8.3
2022/01/08,4,1.3,-4.5,8.6
2022/01/08,5,1.2,-4.7,8.3
2022/01/08,6,0.9,-4.6,8.1
2022/01/08,7,0.6,-5.4,7.6
2022/01/08,8,0.4,-5,7.7
2022/01/08,9,2.8,-3.2,8.7
2022/01/08,10,6,0.3,9.7
2022/01/08,11,8,4.4,11.8
2022/01/08,12,10.4,7.8,11.7
2022/01/08,13,11.7,8.9,12.5
2022/01/08,14,13,9.8,13.6
2022/01/08,15,13.5,9.4,13.8
2022/01/08,16,12.7,8.9,13.4
2022/01/08,17,11.7,6.8,12.4
2022/01/08,18,10.1,2.7,10.9
2022/01/08,19,8.8,1.7,9.3
